ModuleName,ARITLSHIFT,ARITLSHIFT_PORT_NUM,ARITLSHIFT_PORT_WIDTH,ARITLSHIFT_VALUE,ARITRSHIFT,ARITRSHIFT_PORT_NUM,ARITRSHIFT_PORT_WIDTH,ARITRSHIFT_VALUE,AlwaysConstructs,AssignLHSPortNum,AssignLHSWidth,AssignRHSPortNum,AssignRHSWidth,AssignStmts,BLOCKINGASSIGN,BlockAssign_Left_PortNum,BlockAssign_Left_Width,BlockAssign_Right_PortNum,BlockAssign_Right_Width,CASECONDITIONNUM,CASECONDITIONWIDTH,CASEITEMCONDITIONNUM,CASEITEMCONDITIOWIDTH,CASEITEMNUM,CONDITIONALELSE,CONDITIONALIF,CONDITIONALIFWIDTH,CONDITIONALTHEN,FORBLOCK,FORTIMES,FUNCTIONCALL,FUNCTIONNUM,INDEXMEMRORY,INOUT,INOUTWIDTH,INPUT,INPUTWIDTH,MIN,ModuleInsts,NonBlockLeftWidth,NonBlockRightWidth,NonBlockingAssign,NonBlockingLeftPortNum,NonBlockingRightPortNum,OUTPUT,OUTPUTWIDTH,PARAMETERNUM,PARAMETERVALUE,PLUS,QUESTIONCOLON,QUESTIONCOLONELSE,QUESTIONCOLONIF,QUESTIONCOLONTHEN,REDAND,REDAOR,REDXOR,REG,REGWIDTH,UnaryOperator,WIRENUM,WIREWIDTH,LUT,FF,IO,BUFG
DFF2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,4,4,0,0,6,2,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,,,
dff_3_pipe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,5,26,0,0,48,24,6,6,3,3,24,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
dly_24cycle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,2,33,0,0,32,32,2,3,3,1,32,1,32,0,0,0,0,0,0,0,0,3,769,0,0,0,0,,,
dm,0,0,0,0,0,0,0,0,1,1,32,2,71,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,5,42,0,0,7,32,1,2,1,1,32,0,0,0,1,1,1,1,0,0,0,1,4096,0,0,0,80,,,
top,0,0,0,0,0,0,0,0,0,3,34,3,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,4,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,8,147,#N/A,,,
encoder8_3,0,0,0,0,0,0,0,0,1,2,4,1,4,1,9,9,36,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,,,
fir,0,0,0,0,8,7,56,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,0,168,105,19,19,27,1,16,0,0,19,0,0,0,0,0,0,0,19,168,0,0,0,229,,,
fre_ctrl,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,2,,,
FSM,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,15,0,0,2,4,8,8,10,4,4,4,4,0,0,0,0,0,0,0,5,5,0,0,20,11,10,10,10,1,3,4,0,0,0,0,0,0,0,0,0,3,7,0,0,0,2,,,
full_add2,0,0,0,0,0,0,0,0,0,2,2,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,1,,,
full_add3,0,0,0,0,0,0,0,0,0,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
full_add4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,2,5,5,0,0,0,1,,,
full_add5,0,0,0,0,0,0,0,0,1,1,1,2,2,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,1,4,4,0,1,1,1,,,
full_adder,0,0,0,0,0,0,0,0,0,2,2,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,,,
funct,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,3,6,0,0,64,0,2,2,1,1,32,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,,,
gpio_mod,0,0,0,0,0,0,0,0,1,2,64,3,96,2,0,0,0,0,0,0,0,0,0,0,5,6,0,6,0,0,0,0,0,0,0,7,100,0,0,224,96,7,7,6,2,64,0,0,0,0,0,0,0,12,0,0,3,96,0,0,0,69,,,
